Directory,Filename,Part Identifier,Description,Distrib,P/N,USD,QTY,$402.86,Manufacturer,Notes,URL,,,,,,,,,,,,,,
./3Dxxxx - 3D printed parts:,3D1104 - Feeder - Auto front feeder sprocket knob.AD_PRT,3D1104,Feeder - Auto front feeder sprocket knob,,,,,0,,,,,,,,,,,,,,,,,
./3Dxxxx - 3D printed parts:,3D1105 - Feeder - Auto front feeder flea trap flap (left).AD_PRT,3D1105,Feeder - Auto front feeder flea trap flap (left),,,,,0,,,,,,,,,,,,,,,,,
./3Dxxxx - 3D printed parts:,3D1106 - Feeder - Auto front feeder flea trap flap (right).AD_PRT,3D1106,Feeder - Auto front feeder flea trap flap (right),,,,,0,,,,,,,,,,,,,,,,,
./3Dxxxx - 3D printed parts:,3D1107 - Feeder - Sprocket tape guide - 8mm.AD_PRT,3D1107,Feeder - Sprocket tape guide - 8mm,,,,,0,,,,,,,,,,,,,,,,,
./3Dxxxx - 3D printed parts:,3D1108 - Feeder - Auto front feeder spent tape guide spring - 8mm (left).AD_PRT,3D1108,Feeder - Auto front feeder spent tape guide spring - 8mm (left),,,,,0,,,,,,,,,,,,,,,,,
./3Dxxxx - 3D printed parts:,3D1108 - Feeder - Auto front feeder spent tape guide spring - 8mm (right).AD_PRT,3D1108,Feeder - Auto front feeder spent tape guide spring - 8mm (right),,,,,0,,,,,,,,,,,,,,,,,
./3Dxxxx - 3D printed parts:,3D2000 - Modular tool - NEMA 8 hollow shaft motor mount.AD_PRT,3D2000,Modular tool - NEMA 8 hollow shaft motor mount,,,,,0,,,,,,,,,,,,,,,,,
./ACxxxx - Feeders:,AC08A0001 - Auto front feeder (left).AD_ASM,AC08A0001,Auto front feeder (left),,,,,0,,,,,,,,,,,,,,,,,
./ACxxxx - Feeders:,AC08A0001 - Auto front feeder (right).AD_ASM,AC08A0001,Auto front feeder (right),,,,,0,,,,,,,,,,,,,,,,,
./ACxxxx - Feeders:,AC08S - Cover tape spool.AD_ASM,AC08S,Cover tape spool,,,,,0,,,,,,,,,,,,,,,,,
./ACxxxx - Feeders:,AC08T0001 - 8mm Feeder - Drag with tape winder.AD_ASM,AC08T0001,8mm Feeder - Drag with tape winder,,,,,0,,,,,,,,,,,,,,,,,
./ACxxxx - Feeders:,ACMNT0001.AD_ASM,ACMNT0001,SMT nozzle (NEMA 8 hollow shaft with Luer lock),,,,,0,,,,,,,,,,,,,,,,,
./ACxxxx - Feeders:,ACMNT0002 - Auto front feeder cover tape mount.AD_ASM,ACMNT0002,Auto front feeder cover tape mount,,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0001 - Frame.AD_ASM,AD0001,Frame,,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0002 - Delta Mechanism.AD_ASM,AD0002,Delta Mechanism,,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0003 - Carbon Rod Assembly.AD_ASM,AD0003,Carbon Rod Assembly,,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0004 - FirePick Delta End Effector Assembly.AD_ASM,AD0004,FirePick Delta End Effector Assembly,,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0004a - FirePick Delta End Effector Assembly.AD_ASM,AD0004a,FirePick Delta End Effector Assembly,,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0005 - Extrusion nut (3D printed).AD_ASM,AD0005,Extrusion nut (3D printed),,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0006 - Delta pulley and arm assembly.AD_ASM,AD0006,Delta pulley and arm assembly,,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0007 - EMC01 module.AD_ASM,AD0007,EMC01 module,,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0008 - RasPi with hat.AD_ASM,AD0008,RasPi with hat,,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0009 - Power switch bracket.AD_ASM,AD0009,Power switch bracket,,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0010 - Knob for 5mm shaft.AD_ASM,AD0010,Knob for 5mm shaft,,,,,0,,,,,,,,,,,,,,,,,
./ADxxxx - Assemblies:,AD0011 - Selfie mirror mount.AD_ASM,AD0011,Selfie mirror mount,,,,,0,,,,,,,,,,,,,,,,,
./ATxxxx - Modular Tools:,AT0001 - SMT nozzle (NEMA 8 hollow shaft with Luer lock).AD_ASM,AT0001,SMT nozzle (NEMA 8 hollow shaft with Luer lock),,,,,0,,,,,,,,,,,,,,,,,
./ATxxxx - Modular Tools:,EAT0001.AD_ASM,EAT0001,Circuit board assembly- SMT nozzle (NEMA 8 hollow shaft with Luer lock),,,,,0,,,,,,,,,,,,,,,,,
,,,J-Head Lite,eBay/OhioPlastics,,$20.00,1,20,,,http://www.ebay.com/itm/The-J-Head-Lite-V2-Ultimate-Economy-RepRap-3D-Printer-Hot-End-For-1-75mm-ABS-PLA-/251512782727?pt=LH_DefaultDomain_0&var=&hash=item3a8f547f87,,,,,,,,,,,,,,
./DBxx - Bearings:,DB5347-BALL.AD_PRT,DB5347-BALL,Traxxas 5347 ball ends,Amazon,,$0.59,12,7.09,,Delta rod links,http://www.amazon.com/Traxxas-5347-Hollow-Balls-Large/dp/B000BOLVJY/ref=sr_1_1?ie=UTF8&qid=1399072336&sr=8-1&keywords=traxxas+5347,,,,,,,,,,,,,,
./DBxx - Bearings:,DB5347-RODEND.AD_PRT,DB5347-RODEND,Traxxas 5347 rod ends,Amazon,,$0.00,12,0,,Part of set w/DB5347-BALL,,,,,,,,,,,,,,,
./DBxx - Bearings:,DB608.AD_PRT,DB608,608 bearings,RobotDigg,12,$0.35,6,2.1,,Delta motor assembly,http://robotdigg.com/product/12/608ZZ-Ball-Bearing,,,,,,,,,,,,,,
./DBxx - Bearings:,DBR1602-2RS.AD_PRT,DBR1602-2RS,"Bearing- 1/4"" Shaft Diameter- 11/16"" OD- 1/4"" Wide",McMaster Carr, 6383k12 ,$5.30,1,5.3,,For SMT vacuum nozzle rotation,http://www.mcmaster.com/#6383k12,,,,,,,,,,,,,,
./DBxx - Bearings:,DBR6-2RS.AD_PRT,DBR6-2RS,"Bearing- 3/8"" Shaft Diameter- 7/8"" OD",McMaster Carr, 60355K703 ,$6.41,1,6.41,,For SMT vacuum nozzle rotation,http://www.mcmaster.com/#60355k703,,,,,,,,,,,,,,
